The Humours of Ennistymon [228]/The Nightingale/The Flying Wheelchair,Jigs
The Hunter’s House/Maudabawn Chapel/ The Star of Munster,Reels
The Banks of Loch Gowna/ Winnie Hayes/ The Mouse in the Kitchen,Jigs
Paddy Fahey’s [4273]/ Kitty’s Wedding,Hornpipe
Jerry's Beaver Hat / Jimmy Ward's (G) / Tatter Jack Walsh,Jigs
My Love is in America / The Sligo Maid,Reels
Tobin’s Favourite/ Close to the Floor (G)/ When sick is it Tea You Want,Jigs
O’Brien’s/ John Brennan’s [404],Reels
The Diplodocus/The Trip to O’Flaherty's,Jigs
Sergeant Early’s Dream (Ddor)/ Paddy Fahey’s  (Ddor),Reels
The Haunted House/ My Darling Asleep/The Old Favorite,Jigs
The Tailor’s Thimble (Edor)/ Grandpa Tommy’s Ceili Band,Reels
Newport Lasses / Anthony Frawley's / Redican's Mother,"Jigs, slip jig"
Beare Island / George White's,Reels
The Dawn Chorus/ Finn From Fairymount ,Jigs
The Peacock’s Feathers (Em)/ The Peacock’s Feathers (D),Hornpipes
Mac’s Fancy (Ador)/The Mist Covered Mountain/ Kitty Lie Over [948],Jigs
The Old Copperplate/Speed the Plough (D)/ The Roscommon     ,Reels
The Dusty Windowsill/The Jig of Slurs,Jigs
Jenny's Wedding / The Drunken Landlady / The Virginia (D),Reels
The Fox in the Thatch/The Sunny Hills of Beara/ The Humours of Ballingarry,Jigs
Willie Coleman's / The Rose in the Heather / Joe Derrane's (Bm),Jigs
